案例編號,蒐集日期,發文平台,原文連結,發文日期,詐騙類型,子分類,平台名稱,金額區間,過程摘要,截圖數量,截圖檔名,關鍵話術,是否有報案,是否有追回,SEO價值,法律風險,處理狀態,備註,LINE ID,網址,金流方式,相關帳號,仿冒品牌,助理,審核者
FRAUD-20260515-001,2026-05-15,PTT八卦版,https://www.ptt.cc/bbs/Gossiping/M.1747228800.A.001.html,2026-05-15,TYPE-A,A1-系統維護拖延,平台-A,5-10萬,儲值3萬後贏到8萬，申請提款時客服以「系統維護」拖延2週，之後要求「再儲值5萬解鎖提領功能」。拒絕後帳號被凍結。,5,FRAUD-20260515-001-01.jpg;FRAUD-20260515-001-LINE.jpg,系統維護中;需要再儲值解鎖,是,否,極高,低,待審核,已報案165有報案證明,abc***123,https://fake-casino-001.com,銀行轉帳,Telegram:@fakeagent01,,助理-A,
FRAUD-20260516-002,2026-05-16,Dcard博弈版,https://www.dcard.tw/f/gambling/p/2400000001,2026-05-16,TYPE-B,B2-偽造官方通知,平台-B,1-5萬,收到自稱「XX娛樂城官方客服」的LINE訊息，說帳戶異常需要驗證。點擊連結後被要求輸入帳號密碼和驗證碼。10分鐘後帳戶餘額被盜領。,3,FRAUD-20260516-002-01.jpg;FRAUD-20260516-002-02.jpg;FRAUD-20260516-002-LINE.jpg,您的帳戶異常;請立即驗證;點擊連結完成認證,是,否,極高,低,待審核,受害者為大學生，損失生活費,def***456,https://fake-cs-002.net,LINE Pay,,鉅城娛樂城,助理-A,
FRAUD-20260517-003,2026-05-17,FB社團,,2026-05-17,TYPE-C,C1-拉人頭傳銷,平台-C,未公開,朋友介紹加入「娛樂城代理」，說「無本創業月入十萬」。需要先繳3萬元「保證金」，之後要拉5個下線才能開始領分潤。拉不到人被要求再繳2萬「培訓費」。,4,FRAUD-20260517-003-01.jpg;FRAUD-20260517-003-02.jpg;FRAUD-20260517-003-CHAT.jpg;FRAUD-20260517-003-TRANS.jpg,無本創業;月入十萬;被動收入;拉5個人,否,否,高,中,待審核,朋友也被騙，目前3人都損失保證金,,,銀行轉帳,Telegram:@agentboss,,助理-B,
FRAUD-20260517-004,2026-05-17,Threads,,2026-05-17,TYPE-D,D1-報牌群組,,10-30萬,加入「專業報牌群組」，前3天跟著老師投注都有小額獲利。第4天老師說「今天有大行情要加碼」，要求儲值10萬。儲值後老師消失，群組被解散。,2,FRAUD-20260517-004-01.jpg;FRAUD-20260517-004-02.jpg,今天穩贏;大行情;保證獲利20%;錯過就沒有了,否,否,高,低,待審核,,,,虛擬貨幣,Telegram:@tipmaster,,助理-A,
FRAUD-20260518-005,2026-05-18,PTT生活消費版,,2026-05-18,TYPE-F,F3-USDT轉帳後不出金,平台-D,10-30萬,透過朋友推薦用USDT儲值到「XX娛樂城」，說「USDT儲值享額外20%優惠」。轉帳5萬等值USDT後，平台顯示餘額但無法提領。客服說「區塊鏈確認需要48小時」，之後失聯。,6,FRAUD-20260518-005-01.jpg;FRAUD-20260518-005-02.jpg;FRAUD-20260518-005-03.jpg;FRAUD-20260518-005-TRANS.jpg;FRAUD-20260518-005-LINE.jpg;FRAUD-20260518-005-URL.jpg,USDT儲值享額外優惠;區塊鏈確認中;48小時後到帳,是,進行中,極高,中,待審核,已向165報案，警方說USDT追蹤困難,ghi***789,https://usdt-casino-fake.com,虛擬貨幣,,,助理-B,
FRAUD-20260518-006,2026-05-18,Dcard閒聊版,,2026-05-18,TYPE-G,,,5-10萬,在交友軟體認識「女生」，聊了2個月後對方說「知道一個娛樂城漏洞」。先讓我儲值5000測試，真的有獲利。後來說「要把握機會加碼」，誘導儲值5萬。儲值後對方封鎖我。,4,FRAUD-20260518-006-01.jpg;FRAUD-20260518-006-02.jpg;FRAUD-20260518-006-CHAT.jpg;FRAUD-20260518-006-TRANS.jpg,知道一個漏洞;內部消息;把握機會;穩賺不賠,是,否,極高,低,待審核,典型的殺豬盤，照片應為盜用,,,銀行轉帳,IG:@fakegirl_2026,,助理-A,
FRAUD-20260518-007,2026-05-18,PTT八卦版,,2026-05-18,TYPE-H,,平台-E,1-5萬,搜尋「鉅城娛樂城」時點到廣告連結，進入的網站介面很像但網址是「jucheng-casino.com」（正版是jucheng）儲值1萬後發現無法登入。,3,FRAUD-20260518-007-01.jpg;FRAUD-20260518-007-02.jpg;FRAUD-20260518-007-URL.jpg,新會員專屬網站;備用網址,否,否,高,中,待審核,網址已關閉，應為短期仿站,,https://jucheng-casino.com,超商繳費,,鉅城娛樂城,助理-B,
FRAUD-20260519-008,2026-05-19,Dcard博弈版,,2026-05-19,TYPE-A,A2-帳戶異常審核,平台-F,30萬以上,贏了20萬申請提款，客服說「帳戶疑似洗錢需要審核7天」。7天後說「審核不通過，帳戶凍結」。已損失本金10萬+獲利20萬。,5,FRAUD-20260519-008-01.jpg;FRAUD-20260519-008-02.jpg;FRAUD-20260519-008-03.jpg;FRAUD-20260519-008-04.jpg;FRAUD-20260519-008-LINE.jpg,帳戶疑似洗錢;需要審核7天;審核不通過,是,否,極高,中,待審核,損失30萬，是投稿者畢業後全部積蓄,,,銀行轉帳,LINE:@fakeservice,,助理-A,
FRAUD-20260519-009,2026-05-19,FB社團,,2026-05-19,TYPE-E,,平台-G,1-5萬,看到FB廣告「儲值1000送5000+抽iPhone15」。儲值後發現「送5000」是「遊戲點數」不能提領，「抽iPhone」需要再儲值滿10萬才符合資格。,2,FRAUD-20260519-009-01.jpg;FRAUD-20260519-009-02.jpg,儲值1000送5000;抽iPhone15;再儲值滿10萬,否,否,高,低,待審核,常見的優惠詐騙話術,,,信用卡,,,助理-B,
FRAUD-20260519-010,2026-05-19,YouTube留言,,2026-05-19,TYPE-I,,平台-H,5-10萬,正常使用2個月，某天登入時顯示「帳號違規，永久封鎖」。聯繫客服說「系統判定洗錢，需提供身份證+存摺解鎖」。提供後帳戶餘額被清空。,3,FRAUD-20260519-010-01.jpg;FRAUD-20260519-010-02.jpg;FRAUD-20260519-010-EMAIL.jpg,帳號違規永久封鎖;系統判定洗錢;提供證件解鎖,否,否,高,中,待審核,,,,銀行轉帳,,,助理-A,
